               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14852,            0.021627,                   0,          0.00037983,            0.022489,          1.4074e-05,          1.9412e-06,             0.14237,            0.020641,                   0,             0.00066,             0.00066,             0.09406
                   1,             0.13909,            0.020548,                   0,          0.00074069,            0.011994,          4.0917e-05,          6.4169e-06,             0.12939,            0.022634,                   0,             0.00133,             0.00133,             0.08803
                   2,             0.12472,            0.022745,                   0,            0.017213,            0.086957,           0.0037674,          0.00070771,             0.11679,            0.025643,                   0,               0.002,               0.002,               0.082
                   3,             0.11142,            0.028504,                   0,             0.15764,             0.25037,            0.064515,            0.013375,             0.10016,            0.029427,                   0,             0.00267,             0.00267,             0.07597
                   4,             0.09988,            0.027745,                   0,              0.3239,             0.33283,              0.1855,            0.039712,            0.090787,            0.025582,                   0,           0.0033399,           0.0033399,             0.06994
                   5,            0.095593,            0.023186,                   0,             0.34101,             0.35232,             0.26821,            0.056205,            0.091928,            0.020647,                   0,           0.0040098,           0.0040098,             0.06391
                   6,            0.094459,            0.020169,                   0,             0.59134,             0.42088,              0.4359,             0.11258,            0.080798,            0.021795,                   0,           0.0046797,           0.0046797,             0.05788
                   7,             0.08983,             0.02041,                   0,              0.4275,             0.46177,             0.38578,             0.10131,            0.080048,            0.019775,                   0,           0.0053495,           0.0053495,            0.051849
                   8,            0.088808,            0.018482,                   0,              0.3902,             0.43178,             0.32252,            0.081206,            0.079422,            0.019361,                   0,           0.0060192,           0.0060192,            0.045819
                   9,            0.086581,            0.018185,                   0,             0.54079,              0.5032,                0.46,             0.10744,            0.075306,            0.018026,                   0,           0.0066889,           0.0066889,            0.039789
                  10,            0.089661,            0.017135,                   0,             0.50471,             0.46327,             0.45398,             0.12728,            0.076376,            0.018126,                   0,           0.0073585,           0.0073585,            0.033759
                  11,            0.085496,            0.017446,                   0,             0.43298,             0.38381,             0.35436,            0.087458,            0.079511,            0.016978,                   0,           0.0080281,           0.0080281,            0.027728
                  12,            0.086661,            0.015682,                   0,             0.47252,             0.39082,             0.30409,            0.075218,             0.08498,            0.015805,                   0,           0.0086975,           0.0086975,            0.021698
                  13,            0.084795,            0.017256,                   0,             0.59871,             0.48092,             0.48658,             0.13374,            0.084464,            0.015319,                   0,           0.0093669,           0.0093669,            0.015667
                  14,            0.088685,            0.016404,                   0,             0.67507,             0.51706,             0.55545,              0.1486,            0.077489,             0.01618,                   0,           0.0099961,           0.0099961,           0.0099961
                  15,            0.086452,            0.016505,                   0,             0.41091,             0.48426,             0.37767,            0.092852,            0.075822,            0.016816,                   0,           0.0099961,           0.0099961,           0.0099961
                  16,            0.083604,            0.016357,                   0,             0.49568,             0.43178,             0.35321,            0.071179,            0.084058,            0.015445,                   0,           0.0099956,           0.0099956,           0.0099956
                  17,            0.080288,            0.016711,                   0,             0.65355,             0.56972,             0.57559,             0.15833,            0.071278,              0.0158,                   0,           0.0099949,           0.0099949,           0.0099949
                  18,            0.076751,            0.016133,                   0,             0.78289,              0.5907,             0.69229,             0.27333,            0.063698,            0.016067,                   0,           0.0099943,           0.0099943,           0.0099943
                  19,            0.073918,            0.015688,                   0,             0.64577,             0.58021,             0.62207,             0.21732,            0.064966,             0.01559,                   0,           0.0099936,           0.0099936,           0.0099936
                  20,            0.073214,            0.014454,                   0,             0.68904,             0.61019,             0.69105,              0.2687,            0.063032,            0.014918,                   0,           0.0099929,           0.0099929,           0.0099929
                  21,            0.067646,            0.015339,                   0,             0.76887,             0.67466,             0.72551,             0.27835,            0.059577,            0.014704,                   0,           0.0099921,           0.0099921,           0.0099921
                  22,            0.069985,            0.015929,                   0,             0.63502,             0.57721,             0.53811,             0.11294,            0.071218,            0.014605,                   0,           0.0099913,           0.0099913,           0.0099913
                  23,            0.070367,             0.01592,                   0,             0.84784,             0.68499,             0.75046,             0.27847,             0.06035,            0.014828,                   0,           0.0099905,           0.0099905,           0.0099905
                  24,            0.068973,            0.014885,                   0,             0.82367,             0.72836,             0.77609,             0.29466,            0.059658,            0.014744,                   0,           0.0099896,           0.0099896,           0.0099896
                  25,            0.064274,             0.01486,                   0,             0.85553,             0.70139,             0.79555,             0.36383,            0.057402,            0.014276,                   0,           0.0099886,           0.0099886,           0.0099886
                  26,            0.061223,            0.015317,                   0,             0.91392,             0.68442,             0.81087,             0.36194,            0.053697,            0.014222,                   0,           0.0099877,           0.0099877,           0.0099877
                  27,            0.058292,            0.013818,                   0,             0.92581,             0.69221,             0.78561,             0.33381,            0.056497,            0.013728,                   0,           0.0099867,           0.0099867,           0.0099867
                  28,            0.063791,            0.015915,                   0,             0.83775,             0.69865,             0.78822,             0.34981,            0.054318,            0.013714,                   0,           0.0099856,           0.0099856,           0.0099856
                  29,            0.062865,            0.014165,                   0,             0.85964,             0.73163,             0.80935,             0.32178,            0.054286,            0.014219,                   0,           0.0099845,           0.0099845,           0.0099845
